Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
Diced Veraities,"5 Johnson St, 520102, Uyo, Akwa Ibom, Nigeria",5.0157188,7.922093,0703 941 3831,4.3,
177 Nwaniba Road,"2XJ3+PQ6, 520101, Uyo, Akwa Ibom, Nigeria",5.031784,7.954379000000001,0810 474 9125,3.5,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Gideons Cafe,"No. 23, Udi Street, 520103, Uyo, Akwa Ibom, Nigeria",5.032421499999999,7.9343132,0813 342 5506,3,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ILLY CAFE XPRESS,"155 Ikot Ekpene - Uyo Rd, 520108, Uyo, Akwa Ibom, Nigeria",5.041213499999999,7.910105100000001,,,
UyoMini3AbaingIbono,"3VH5+CJW, 520111, Uyo, Akwa Ibom, Nigeria",5.078611399999999,7.8590906,,3.6,
Fat Yash Franchise,"2WWF+58X, Ikpa Rd, 520101, Uyo, Akwa Ibom, Nigeria",5.0454925,7.923351999999998,0703 018 5206,4.5,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Ultimate Cuisine & Coffee Bar,"No. 44 Obio Imo Street & Off Aka Road, 520241, Uyo, Akwa Ibom, Akwa Ibom, Nigeria",5.020256,7.9304725,0802 830 5294,3.8,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
cyberLounge uyo,"WXVR+6WX, 521110, Idu, Akwa Ibom, Nigeria",4.943102000000001,7.9923558,,,
Kitchies Cafe,"21 Ekpenyong St, 520221, Uyo, Akwa Ibom, Nigeria",5.0351549,7.932213900000002,0701 461 5727,4.3,"['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u20099:00\u202fPM']"
Hankeme Bakery,"2XHJ+QXX Vision Rd, 520101, Uyo, Akwa Ibom, Nigeria",5.029482900000001,7.9824781,,4.7,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Closed', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
